Wall time,Step,Value
1763958582.929459,0,0.4536570906639099
1763958677.134366,1,0.5233175754547119
1763958770.988028,2,0.5502777695655823
1763958865.198901,3,0.5639034509658813
1763958959.858921,4,0.5698278546333313
1763959057.33944,5,0.5784494280815125
1763959155.225133,6,0.5785595774650574
1763959252.284536,7,0.5993786454200745
1763959350.902772,8,0.6079280376434326
1763959449.519016,9,0.6180432438850403
1763959546.898863,10,0.6282958984375
1763959644.406038,11,0.6368725299835205
1763959742.033315,12,0.6467414498329163
1763959840.681758,13,0.652974545955658
1763959938.648883,14,0.6609208583831787
1763960036.878621,15,0.6620969176292419
1763960134.514384,16,0.662170946598053
1763960230.135217,17,0.6739213466644287
1763960328.601681,18,0.6740171909332275
1763960426.870225,19,0.6842266321182251
1763960524.94797,20,0.6801326274871826
1763960622.964817,21,0.6907190084457397
1763960720.384518,22,0.6924530267715454
1763960818.149821,23,0.6932107210159302
1763960916.563977,24,0.6923795342445374
1763961014.324653,25,0.6967413425445557
1763961112.302237,26,0.6941912770271301
1763961207.819376,27,0.6989260315895081
1763961305.653671,28,0.7084638476371765
1763961404.473555,29,0.7071828246116638
1763961502.732353,30,0.711166262626648
1763961598.565778,31,0.7078678607940674
1763961693.510092,32,0.7055115103721619
1763961789.523204,33,0.7079864144325256
1763961883.895022,34,0.7118237614631653
1763961979.174337,35,0.7133780121803284
1763962074.501926,36,0.7130922079086304
1763962168.669989,37,0.7183266878128052
1763962263.423047,38,0.718003511428833
1763962358.170942,39,0.7213236093521118
1763962452.793265,40,0.7203982472419739
1763962548.23374,41,0.7238770723342896
1763962642.734762,42,0.7262948751449585
1763962738.175437,43,0.728915810585022
1763962833.075077,44,0.726530909538269
1763962928.303503,45,0.7292107939720154
1763963022.543239,46,0.7321116924285889
1763963117.299994,47,0.7293714880943298
1763963211.937157,48,0.7299907803535461
1763963306.906501,49,0.730169951915741
1763963402.05755,50,0.7317906618118286
1763963502.972367,51,0.7370591163635254
1763963597.938456,52,0.7349337935447693
1763963692.998828,53,0.7339340448379517
1763963787.809093,54,0.733959972858429
1763963883.182565,55,0.7395886778831482
1763963978.576917,56,0.7362387180328369
1763964073.849435,57,0.7449601292610168
1763964169.193921,58,0.7408667206764221
1763964264.477857,59,0.7407702207565308
1763964360.334943,60,0.7407967448234558
1763964456.133646,61,0.7433816194534302
1763964551.092901,62,0.7459117770195007
1763964646.252123,63,0.7432399392127991
1763964741.480155,64,0.7469151020050049
1763964836.120662,65,0.745481550693512
1763964931.301371,66,0.7467225193977356
1763965026.806538,67,0.7465122938156128
1763965121.879549,68,0.7503665089607239
1763965216.89961,69,0.7505882382392883
1763965312.347572,70,0.7527242302894592
1763965406.983347,71,0.7505978345870972
1763965501.587225,72,0.7501106858253479
1763965598.949576,73,0.7532126903533936
1763965694.024177,74,0.7524119019508362
1763965789.543914,75,0.751183032989502
1763965884.739443,76,0.755104660987854
1763965979.953779,77,0.756568431854248
1763966075.327732,78,0.7548233270645142
1763966171.21702,79,0.7550576329231262
1763966266.182902,80,0.7583621144294739
1763966361.471784,81,0.7568832039833069
1763966456.108092,82,0.759422779083252
1763966551.042082,83,0.7600885629653931
1763966646.019172,84,0.7594724893569946
1763966741.103315,85,0.7573714852333069
1763966836.447792,86,0.7582368850708008
1763966931.553198,87,0.7623093128204346
1763967026.723017,88,0.7607581615447998
1763967121.769388,89,0.7632888555526733
1763967219.243978,90,0.7651594877243042
1763967314.285115,91,0.7619693279266357
1763967409.583622,92,0.7635719180107117
1763967504.847498,93,0.7675613164901733
1763967599.84997,94,0.7659170627593994
1763967696.229287,95,0.7661594748497009
1763967791.632595,96,0.7683489322662354
1763967886.510388,97,0.7670339345932007
1763967981.833624,98,0.7699137926101685
1763968077.035217,99,0.7693896293640137
1763968172.246847,100,0.7715832591056824
1763968267.986412,101,0.7653377652168274
1763968362.96949,102,0.7670490741729736
1763968458.163863,103,0.767807126045227
1763968553.094736,104,0.7695474028587341
1763968648.140761,105,0.7751518487930298
1763968743.151288,106,0.7728378176689148
1763968838.38551,107,0.7731701731681824
1763968933.309554,108,0.7728617787361145
1763969028.658527,109,0.7736754417419434
1763969123.706698,110,0.7753573656082153
1763969219.051368,111,0.7745722532272339
1763969315.862523,112,0.774403989315033
1763969410.934286,113,0.7737286686897278
1763969506.08499,114,0.7738502025604248
1763969601.775332,115,0.7764469385147095
1763969696.726986,116,0.7727985382080078
1763969792.920585,117,0.7779386639595032
1763969888.530387,118,0.778874397277832
1763969983.23058,119,0.7769314050674438
1763970078.728763,120,0.7781432271003723
1763970174.382606,121,0.7774848937988281
1763970270.291163,122,0.7785888314247131
1763970364.92143,123,0.7798672914505005
1763970460.109232,124,0.7771395444869995
1763970554.894166,125,0.780275285243988
1763970650.127728,126,0.7808303236961365
1763970745.503483,127,0.7829036116600037
