Wall time,Step,Value
1763914172.746714,0,0.48024511337280273
1763914302.609632,1,0.5695496201515198
1763914429.913757,2,0.6141517758369446
1763914557.684557,3,0.656779408454895
1763914685.609976,4,0.6658855676651001
1763914811.86611,5,0.6858391761779785
1763914938.125217,6,0.6897026300430298
1763915063.209097,7,0.7095363736152649
1763915189.442944,8,0.7117782831192017
1763915317.370967,9,0.7214492559432983
1763915444.738704,10,0.7268663644790649
1763915570.225736,11,0.7342450022697449
1763915695.327697,12,0.7323708534240723
1763915822.226532,13,0.7446653842926025
1763915948.236083,14,0.7495637536048889
1763916074.343084,15,0.7532204985618591
1763916201.601673,16,0.7572872638702393
1763916327.018957,17,0.7550901174545288
1763916452.226904,18,0.7553126811981201
1763916577.399709,19,0.7603838443756104
1763916702.105922,20,0.7644191980361938
1763916827.801669,21,0.7668824195861816
1763916953.116772,22,0.7690377831459045
1763917080.196807,23,0.7694777250289917
1763917205.855621,24,0.7728111147880554
1763917331.69286,25,0.7740851044654846
1763917457.558755,26,0.77362060546875
1763917583.624708,27,0.7798288464546204
1763917709.128021,28,0.7786781787872314
1763917834.467966,29,0.7823807001113892
1763917959.899722,30,0.7843407392501831
1763918086.907407,31,0.7820640802383423
1763918212.236633,32,0.7839422821998596
1763918337.991886,33,0.7847341895103455
1763918464.437107,34,0.7870497703552246
1763918590.362046,35,0.7897569537162781
1763918715.746063,36,0.7882736325263977
1763918841.65468,37,0.793440580368042
1763918965.794288,38,0.7919084429740906
1763919089.854362,39,0.7911159992218018
1763919214.369361,40,0.793647825717926
1763919339.414809,41,0.7986611723899841
1763919464.01163,42,0.7970770001411438
1763919588.272775,43,0.7968387007713318
1763919712.863673,44,0.7983611822128296
1763919838.175973,45,0.8023989200592041
1763919962.747768,46,0.7988112568855286
1763920087.146665,47,0.7992461323738098
1763920211.424604,48,0.8025514483451843
1763920335.596428,49,0.8040762543678284
1763920461.040744,50,0.8026989698410034
1763920587.441446,51,0.8015860319137573
1763920712.851315,52,0.8065627217292786
1763920837.182637,53,0.8047727346420288
1763920961.301704,54,0.8078504800796509
1763921085.458401,55,0.8103524446487427
1763921210.828786,56,0.8099757432937622
1763921335.689584,57,0.8090029954910278
1763921460.56444,58,0.8105568885803223
1763921585.405542,59,0.8086610436439514
1763921710.391748,60,0.8134814500808716
1763921834.877825,61,0.8120184540748596
1763921960.668902,62,0.8108921051025391
1763922086.264772,63,0.8137007355690002
1763922210.814838,64,0.8137983679771423
1763922337.314688,65,0.8152850866317749
1763922461.487315,66,0.8167150020599365
1763922586.058697,67,0.8167332410812378
1763922709.737174,68,0.8153719305992126
1763922833.420235,69,0.8175008296966553
1763922957.047488,70,0.8170885443687439
1763923081.419855,71,0.8173837661743164
